Team,NBA_Abbr,Primary,Secondary,Full,,,
ATL,ATL,#e03a3e,#26282a,Atlanta Hawks,,,
BOS,BOS,#00a55c,#bb9753,Boston Celtics,,,
BRK,BKN,#000000,#FFFFFF,Brooklyn Nets,,,
CHO,CHA,#1d1160,#00788c,Charlotte Hornets,,,
CHI,CHI,#ce1141,#000000,Chicago Bulls,,,
CLE,CLE,#6f2633,#FFB81C,Cleveland Cavaliers,,,
DAL,DAL,#007dc5,#00285e,Dallas Mavericks,,,
DEN,DEN,#0d2240,#ffc627,Denver Nuggets,,,
DET,DET,#C8102E,#1d428a,Detroit Pistons,,,
GSW,GSW,#006bb6,#fdb927,Golden State Warriors,,,
HOU,HOU,#ce1141,#000000,Houston Rockets,,,
IND,IND,#002d62,#fdbb30,Indiana Pacers,,,
LAC,LAC,#1d428a,#c8102e,Los Angeles Clippers,,,
LAL,LAL,#fdb927,#552583,Los Angeles Lakers,,,
MEM,MEM,#12173f,#5d76a9,Memphis Grizzlies,,,
MIA,MIA,#98002e,#000000,Miami Heat,,,
MIL,MIL,#00471b,#000000,Milwaukee Bucks,,,
MIN,MIN,#0c2340,#9ea2a2,Minnesota Timberwolves,,,
NOP,NOP,#002b5c,#b4975a,New Orleans Pelicans,,,
NYK,NYK,#006bb6,#f58426,New York Knicks,,,
OKC,OKC,#007ac1,#fdbb30,Oklahoma City Thunder,,,
ORL,ORL,#0b77bd,#000000,Orlando Magic,,,
PHI,PHI,#006bb6,#ed174c,Philadelphia 76ers,,,
PHO,PHX,#1d1160,#e56020,Phoenix Suns,,,
POR,POR,#e03a3e,#000000,Portland Trail Blazers,,,
SAC,SAC,#5b2b82,#63727a,Sacramento Kings,,,
SAS,SAS,#c4ced4,#000000,San Antonio Spurs,,,
TOR,TOR,#cd1141,#000000,Toronto Raptors,,,
UTA,UTA,#0d2240,#f9a01b,Utah Jazz,,,
WAS,WAS,#002b5c,#E31837,Washington Wizards,,,
TOT,TOT,#17408B,#C9082A,Multiple Teams,,,